Woche,Anzahl,Sorte
2019.14,69,Bedienstete
2019.15,51,Bedienstete
2019.16,41,Bedienstete
2019.17,36,Bedienstete
2019.18,38,Bedienstete
2019.19,61,Bedienstete
2019.20,57,Bedienstete
2019.21,53,Bedienstete
2019.22,17,Bedienstete
2019.23,41,Bedienstete
2019.24,25,Bedienstete
2019.25,48,Bedienstete
2019.26,45,Bedienstete
2019.27,60,Bedienstete
2019.28,44,Bedienstete
2019.29,39,Bedienstete
2019.30,65,Bedienstete
2019.31,67,Bedienstete
2019.32,62,Bedienstete
2019.33,53,Bedienstete
2019.34,72,Bedienstete
2019.35,72,Bedienstete
2019.36,64,Bedienstete
2019.37,84,Bedienstete
2019.38,55,Bedienstete
2019.39,74,Bedienstete
2019.40,49,Bedienstete
2019.41,66,Bedienstete
2019.42,64,Bedienstete
2019.43,75,Bedienstete
2019.44,44,Bedienstete
2019.45,61,Bedienstete
2019.46,52,Bedienstete
2019.47,47,Bedienstete
2019.48,60,Bedienstete
2019.49,59,Bedienstete
2019.50,55,Bedienstete
2019.51,37,Bedienstete
2020.02,50,Bedienstete
2020.03,56,Bedienstete
2020.04,58,Bedienstete
2020.05,69,Bedienstete
2020.06,69,Bedienstete
2020.07,49,Bedienstete
2020.08,57,Bedienstete
2020.09,63,Bedienstete
2020.10,58,Bedienstete
2020.11,81,Bedienstete
2020.12,10,Bedienstete
2020.19,10,Bedienstete
2020.20,2,Bedienstete
2020.21,7,Bedienstete
2020.22,13,Bedienstete
2020.23,4,Bedienstete
2020.24,13,Bedienstete
2020.25,11,Bedienstete
2020.26,5,Bedienstete
2020.27,15,Bedienstete
2020.28,18,Bedienstete
2020.29,29,Bedienstete
2020.30,21,Bedienstete
2020.31,23,Bedienstete
2020.32,16,Bedienstete
2020.33,12,Bedienstete
2020.34,20,Bedienstete
2020.35,19,Bedienstete
2020.36,7,Bedienstete
2020.37,8,Bedienstete
2020.38,15,Bedienstete
2020.39,17,Bedienstete
2020.40,13,Bedienstete
2020.41,22,Bedienstete
2020.42,19,Bedienstete
2020.43,27,Bedienstete
2020.44,30,Bedienstete
2020.45,27,Bedienstete
2020.46,24,Bedienstete
2020.47,17,Bedienstete
2020.48,25,Bedienstete
2020.49,12,Bedienstete
2020.50,22,Bedienstete
2020.51,12,Bedienstete
2021.09,9,Bedienstete
2021.10,24,Bedienstete
2021.11,28,Bedienstete
2021.12,3,Bedienstete
2021.13,5,Bedienstete
2021.14,4,Bedienstete
2021.15,12,Bedienstete
2021.17,6,Bedienstete
2019.14,255,Studenten
2019.15,211,Studenten
2019.16,181,Studenten
2019.17,145,Studenten
2019.18,135,Studenten
2019.19,221,Studenten
2019.20,154,Studenten
2019.21,196,Studenten
2019.22,108,Studenten
2019.23,151,Studenten
2019.24,91,Studenten
2019.25,132,Studenten
2019.26,150,Studenten
2019.27,153,Studenten
2019.28,160,Studenten
2019.29,128,Studenten
2019.30,173,Studenten
2019.31,125,Studenten
2019.32,139,Studenten
2019.33,139,Studenten
2019.34,102,Studenten
2019.35,71,Studenten
2019.36,86,Studenten
2019.37,99,Studenten
2019.38,91,Studenten
2019.39,100,Studenten
2019.40,102,Studenten
2019.41,169,Studenten
2019.42,255,Studenten
2019.43,253,Studenten
2019.44,203,Studenten
2019.45,281,Studenten
2019.46,215,Studenten
2019.47,203,Studenten
2019.48,199,Studenten
2019.50,204,Studenten
2019.51,157,Studenten
2020.02,230,Studenten
2020.03,247,Studenten
2020.04,221,Studenten
2020.05,191,Studenten
2020.06,203,Studenten
2020.07,118,Studenten
2020.08,162,Studenten
2020.09,175,Studenten
2020.10,176,Studenten
2020.11,158,Studenten
2020.12,26,Studenten
2020.19,10,Studenten
2020.20,8,Studenten
2020.21,30,Studenten
2020.22,32,Studenten
2020.23,19,Studenten
2020.24,19,Studenten
2020.25,13,Studenten
2020.26,27,Studenten
2020.27,38,Studenten
2020.28,42,Studenten
2020.29,45,Studenten
2020.30,53,Studenten
2020.31,67,Studenten
2020.32,47,Studenten
2020.33,24,Studenten
2020.34,58,Studenten
2020.35,58,Studenten
2020.36,31,Studenten
2020.37,20,Studenten
2020.38,14,Studenten
2020.39,22,Studenten
2020.40,27,Studenten
2020.41,49,Studenten
2020.42,52,Studenten
2020.43,88,Studenten
2020.44,102,Studenten
2020.45,70,Studenten
2020.46,49,Studenten
2020.47,45,Studenten
2020.48,51,Studenten
2020.49,41,Studenten
2020.50,46,Studenten
2020.51,25,Studenten
2020.52,5,Studenten
2021.09,45,Studenten
2021.10,106,Studenten
2021.11,116,Studenten
2021.12,24,Studenten
2021.13,12,Studenten
2021.14,9,Studenten
2021.15,21,Studenten
2021.16,11,Studenten
2021.17,20,Studenten
