Woche,Anzahl,Sorte,Name
2019.14,294,Bedienstete,Selbstwahltheken Gemuese Pasta Salat
2019.15,272,Bedienstete,Selbstwahltheken Gemuese Pasta Salat
2019.16,216,Bedienstete,Selbstwahltheken Gemuese Pasta Salat
2019.17,208,Bedienstete,Selbstwahltheken Gemuese Pasta Salat
2019.18,205,Bedienstete,Selbstwahltheken Gemuese Pasta Salat
2019.19,283,Bedienstete,Selbstwahltheken Gemuese Pasta Salat
2019.2,246,Bedienstete,Selbstwahltheken Gemuese Pasta Salat
2019.21,260,Bedienstete,Selbstwahltheken Gemuese Pasta Salat
2019.22,158,Bedienstete,Selbstwahltheken Gemuese Pasta Salat
2019.23,283,Bedienstete,Selbstwahltheken Gemuese Pasta Salat
2019.24,187,Bedienstete,Selbstwahltheken Gemuese Pasta Salat
2019.25,274,Bedienstete,Selbstwahltheken Gemuese Pasta Salat
2019.26,232,Bedienstete,Selbstwahltheken Gemuese Pasta Salat
2019.27,285,Bedienstete,Selbstwahltheken Gemuese Pasta Salat
2019.28,206,Bedienstete,Selbstwahltheken Gemuese Pasta Salat
2019.29,200,Bedienstete,Selbstwahltheken Gemuese Pasta Salat
2019.3,198,Bedienstete,Selbstwahltheken Gemuese Pasta Salat
2019.31,210,Bedienstete,Selbstwahltheken Gemuese Pasta Salat
2019.32,275,Bedienstete,Selbstwahltheken Gemuese Pasta Salat
2019.33,250,Bedienstete,Selbstwahltheken Gemuese Pasta Salat
2019.34,241,Bedienstete,Selbstwahltheken Gemuese Pasta Salat
2019.35,292,Bedienstete,Selbstwahltheken Gemuese Pasta Salat
2019.36,226,Bedienstete,Selbstwahltheken Gemuese Pasta Salat
2019.37,175,Bedienstete,Selbstwahltheken Gemuese Pasta Salat
2019.38,231,Bedienstete,Selbstwahltheken Gemuese Pasta Salat
2019.39,261,Bedienstete,Selbstwahltheken Gemuese Pasta Salat
2019.4,178,Bedienstete,Selbstwahltheken Gemuese Pasta Salat
2019.41,284,Bedienstete,Selbstwahltheken Gemuese Pasta Salat
2019.42,229,Bedienstete,Selbstwahltheken Gemuese Pasta Salat
2019.43,209,Bedienstete,Selbstwahltheken Gemuese Pasta Salat
2019.44,153,Bedienstete,Selbstwahltheken Gemuese Pasta Salat
