Woche,Anzahl,Sorte,Name
2019.14,152,Bedienstete,Vegetarisch
2019.15,100,Bedienstete,Vegetarisch
2019.16,144,Bedienstete,Vegetarisch
2019.17,134,Bedienstete,Vegetarisch
2019.18,101,Bedienstete,Vegetarisch
2019.19,162,Bedienstete,Vegetarisch
2019.20,198,Bedienstete,Vegetarisch
2019.21,135,Bedienstete,Vegetarisch
2019.22,121,Bedienstete,Vegetarisch
2019.23,162,Bedienstete,Vegetarisch
2019.24,96,Bedienstete,Vegetarisch
2019.25,180,Bedienstete,Vegetarisch
2019.26,159,Bedienstete,Vegetarisch
2019.27,169,Bedienstete,Vegetarisch
2019.28,170,Bedienstete,Vegetarisch
2019.29,144,Bedienstete,Vegetarisch
2019.30,152,Bedienstete,Vegetarisch
2019.31,144,Bedienstete,Vegetarisch
2019.32,192,Bedienstete,Vegetarisch
2019.33,201,Bedienstete,Vegetarisch
2019.34,205,Bedienstete,Vegetarisch
2019.35,248,Bedienstete,Vegetarisch
2019.36,241,Bedienstete,Vegetarisch
2019.37,70,Bedienstete,Vegetarisch
2019.38,142,Bedienstete,Vegetarisch
2019.39,171,Bedienstete,Vegetarisch
2019.40,105,Bedienstete,Vegetarisch
2019.41,133,Bedienstete,Vegetarisch
2019.42,155,Bedienstete,Vegetarisch
2019.43,128,Bedienstete,Vegetarisch
2019.44,105,Bedienstete,Vegetarisch
2019.45,216,Bedienstete,Vegetarisch
2019.46,208,Bedienstete,Vegetarisch
2019.47,112,Bedienstete,Vegetarisch
2019.48,148,Bedienstete,Vegetarisch
2019.49,184,Bedienstete,Vegetarisch
2019.50,187,Bedienstete,Vegetarisch
2019.51,102,Bedienstete,Vegetarisch
2020.02,194,Bedienstete,Vegetarisch
2020.03,212,Bedienstete,Vegetarisch
2020.04,168,Bedienstete,Vegetarisch
2020.05,192,Bedienstete,Vegetarisch
2020.06,189,Bedienstete,Vegetarisch
2020.07,206,Bedienstete,Vegetarisch
2020.08,199,Bedienstete,Vegetarisch
2020.09,154,Bedienstete,Vegetarisch
2020.10,227,Bedienstete,Vegetarisch
2020.11,180,Bedienstete,Vegetarisch
2020.12,66,Bedienstete,Vegetarisch
2020.28,16,Bedienstete,Vegetarisch
2020.29,194,Bedienstete,Vegetarisch
2020.30,151,Bedienstete,Vegetarisch
2020.31,134,Bedienstete,Vegetarisch
2020.32,173,Bedienstete,Vegetarisch
2020.33,177,Bedienstete,Vegetarisch
2020.34,158,Bedienstete,Vegetarisch
2020.35,165,Bedienstete,Vegetarisch
2020.36,197,Bedienstete,Vegetarisch
2020.37,207,Bedienstete,Vegetarisch
2020.38,195,Bedienstete,Vegetarisch
2020.39,194,Bedienstete,Vegetarisch
2020.40,207,Bedienstete,Vegetarisch
2020.41,223,Bedienstete,Vegetarisch
2020.42,203,Bedienstete,Vegetarisch
2020.43,131,Bedienstete,Vegetarisch
