Woche,COVID
2021.17,21708
2021.16,20962.8571428571
2021.15,19758.4285714286
2021.14,18669.2857142857
2021.13,17939.2857142857
2021.12,17158.8571428571
2021.11,16499.7142857143
2021.10,16064
2021.9,15753.7142857143
2021.8,15472.4285714286
2021.7,15249.8571428571
2021.6,15001.7142857143
2021.5,14687
2021.4,14202.5714285714
2021.3,13529.1428571429
2021.2,12611.8571428571
2021.1,11386.4285714286
2020.53,10408
2020.52,9304
2020.51,7594.71428571429
2020.50,5885.57142857143
2020.49,4709
2020.48,3700.42857142857
2020.47,2915.71428571429
2020.46,2154.42857142857
2020.45,1538.28571428571
2020.44,986.571428571429
2020.43,681.571428571429
2020.42,528.142857142857
2020.41,452.833333333333
2020.40,430.333333333333
2020.39,404
2020.38,381.5
2020.37,354.833333333333
2020.36,338
2020.35,323.2
2020.34,312.4
2020.33,309
2020.32,308.6
2020.31,305.2
2020.30,304
2020.29,304
2020.28,304
2020.27,302.4
2020.26,298.8
2020.25,272.333333333333
2020.24,260.142857142857
2020.23,258.285714285714
2020.22,256
2020.21,255.714285714286
2020.20,253.714285714286
2020.19,251
2020.18,249
2020.17,241.285714285714
2020.16,231.714285714286
2020.15,194.571428571429
2020.14,127.857142857143
2020.13,61
2020.12,13.6
2020.11,0.6
