Woche, Durchschnitt
K53,10408
K52,9304
K51,7594.71428571429
K50,5885.57142857143
K49,4709
K48,3700.42857142857
K47,2915.71428571429
K46,2154.42857142857
K45,1538.28571428571
K44,986.571428571429
K43,681.571428571429
K42,528.142857142857
K41,452.833333333333
K40,430.333333333333
K39,404
K38,381.5
K37,354.833333333333
K36,338
K35,323.2
K34,312.4
K33,309
K32,308.6
K31,305.2
K30,304
K29,304
K28,304
K27,302.4
K26,298.8
K25,272.333333333333
K24,260.142857142857
K23,258.285714285714
K22,256
K21,255.714285714286
K20,253.714285714286
K19,251
K18,249
K17,241.285714285714
K16,231.714285714286
K15,194.571428571429
K14,127.857142857143
K13,61
K12,13.6
K11,0.6
